document,dominant_topic,topic_0_probability,topic_1_probability,original_text
admin harap update aplikasi mode landscape potret mode landscape layar pakai beda mode potret mudah guna layar lebar tablet mudah jangkauanya luas lebar layak mode desktop,1,0.18652473302372222,0.8134752669762778,"['admin', 'harap', 'update', 'aplikasi', 'mode', 'landscape', 'potret', 'mode', 'landscape', 'layar', 'pakai', 'beda', 'mode', 'potret', 'mudah', 'guna', 'layar', 'lebar', 'tablet', 'mudah', 'jangkauanya', 'luas', 'lebar', 'layak', 'mode', 'desktop']"
lawan alam interface fitur komplit ruang diskusi layak media sosial informasi saji update banding sekuritas aku stockbit layak kelompok usia kaum muda terima kasih stockbit terus jaya tingkat layan baik,0,0.9786684485589836,0.02133155144101636,"['lawan', 'alam', 'interface', 'fitur', 'komplit', 'ruang', 'diskusi', 'layak', 'media', 'sosial', 'informasi', 'saji', 'update', 'banding', 'sekuritas', 'aku', 'stockbit', 'layak', 'kelompok', 'usia', 'kaum', 'muda', 'terima', 'kasih', 'stockbit', 'terus', 'jaya', 'tingkat', 'layan', 'baik']"
lebih chat suport cepat layan pertanyan receh kurang eror jam market runing trade orderbok jalan normal refresh manual emiten transaksi update tibatiba jam market sebab transaksi optimal,1,0.02002565062161667,0.9799743493783833,"['lebih', 'chat', 'suport', 'cepat', 'layan', 'pertanyan', 'receh', 'kurang', 'eror', 'jam', 'market', 'runing', 'trade', 'orderbok', 'jalan', 'normal', 'refresh', 'manual', 'emiten', 'transaksi', 'update', 'tibatiba', 'jam', 'market', 'sebab', 'transaksi', 'optimal']"
charting pinjam tradingview indikator parah data lambat aplikasi eror screner ubah fungsi parah csnya screnrecording berkalikali screnshot berkalikali kasih solusi apa pakai mending pakai aplikasi,1,0.13815969711835935,0.8618403028816406,"['charting', 'pinjam', 'tradingview', 'indikator', 'parah', 'data', 'lambat', 'aplikasi', 'eror', 'screner', 'ubah', 'fungsi', 'parah', 'csnya', 'screnrecording', 'berkalikali', 'screnshot', 'berkalikali', 'kasih', 'solusi', 'apa', 'pakai', 'mending', 'pakai', 'aplikasi']"
oke banget fitur suka trading cepat maksimum cash maks trading limit tolong sederhana click pilih layar orderboking cepat pilih buka opsi makan semangat,0,0.6327698052500053,0.36723019474999474,"['oke', 'banget', 'fitur', 'suka', 'trading', 'cepat', 'maksimum', 'cash', 'maks', 'trading', 'limit', 'tolong', 'sederhana', 'click', 'pilih', 'layar', 'orderboking', 'cepat', 'pilih', 'buka', 'opsi', 'makan', 'semangat']"
halo min bugeror ubah order harga order saham harga alami ubah order harga tentu order bca harga order harga tolong tingkat layan csnya kali hubung customer service buruk kali hilang jelas apa tolong baik tingkat layan csnya,1,0.08651824648676859,0.9134817535132314,"['halo', 'min', 'bugeror', 'ubah', 'order', 'harga', 'order', 'saham', 'harga', 'alami', 'ubah', 'order', 'harga', 'tentu', 'order', 'bca', 'harga', 'order', 'harga', 'tolong', 'tingkat', 'layan', 'csnya', 'kali', 'hubung', 'customer service', 'buruk', 'kali', 'hilang', 'jelas', 'apa', 'tolong', 'baik', 'tingkat', 'layan', 'csnya']"
saldo balance trading duga kurang transaksianeh menu suport chat tera buka blankmulai aneh hati hati kurang percaya stockbit responship salah data low aksi saldo kurang tepatsaya tambahin star,1,0.026486065865484236,0.9735139341345157,"['saldo', 'balance', 'trading', 'duga', 'kurang', 'transaksianeh', 'menu', 'suport', 'chat', 'tera', 'buka', 'blankmulai', 'aneh', 'hati', 'hati', 'kurang', 'percaya', 'stockbit', 'responship', 'salah', 'data', 'low', 'aksi', 'saldo', 'kurang', 'tepatsaya', 'tambahin', 'star']"
aplikasi mudah user experience tampilanya bagus fitur chat live sangant santai respon layan cal centernya sulit sambung sekian panggil laku sambung sulit komunikasi layan csnya sayang aplikasi sisi customer servis aju harga nego kaji ulang antri ulang kali kirim email aprove,1,0.23207650336768038,0.7679234966323197,"['aplikasi', 'mudah', 'user experience', 'tampilanya', 'bagus', 'fitur', 'chat', 'live', 'sangant', 'santai', 'respon', 'layan', 'cal', 'centernya', 'sulit', 'sambung', 'sekian', 'panggil', 'laku', 'sambung', 'sulit', 'komunikasi', 'layan', 'csnya', 'sayang', 'aplikasi', 'sisi', 'customer', 'servis', 'aju', 'harga', 'nego', 'kaji', 'ulang', 'antri', 'ulang', 'kali', 'kirim', 'email', 'aprove']"
bintang kena biaya data udah cek transaksi capai nilai kena biaya selesai kasih bintang ful,1,0.26354905036751985,0.7364509496324801,"['bintang', 'kena', 'biaya', 'data', 'udah', 'cek', 'transaksi', 'capai', 'nilai', 'kena', 'biaya', 'selesai', 'kasih', 'bintang', 'ful']"
tambah fitur menu produk etf kripto saham usa aplikasi mudah lengkap banding broker kompetitor efek jangka tolong tambah fitur baru versi aplikasi terimakasih,0,0.509470087500025,0.490529912499975,"['tambah', 'fitur', 'menu', 'produk', 'etf', 'kripto', 'saham', 'usa', 'aplikasi', 'mudah', 'lengkap', 'banding', 'broker', 'kompetitor', 'efek', 'jangka', 'tolong', 'tambah', 'fitur', 'baru', 'versi', 'aplikasi', 'terimakasih']"
