content,score,label,dominant_topic,topic_probability,topic_keywords,lda_tokens
"hey admin, ku harap update berikutnya aplikasi ini bisa menjadi mode landscape, bukan hanya potret saja, meskipun bisa menggunakan mode landscape, tapi hanya setengah layar saja yang terpakai, jadi tidak ada bedanya dengan mode potret, saya meminta ini agar bisa memudahkan pengguna layar lebar terutama tablet agar lebih mudah agar jangkauannya lebih luas dan lebar layaknya mode desktop.",4,positive,3,0.413,"eror, maintenance, jam, jam_bursa, parah, login, hilang, pagi, pas, jual",admin harap update aplikasi mode_landscape potret mode_landscape layar terpakai bedanya mode potret memudahkan pengguna layar lebar tablet mudah jangkauanya luas lebar layaknya mode desktop
"Gak ada lawan. Pengalaman interface yang luar biasa, fitur yang sangat komplit, ruang diskusi yang luar biasa (layaknya media sosial), informasi disajikan sangat update. Setelah membandingkan dengan beberapa sekuritas besar lainnya, saya akui, Stockbit paling layak untuk semua kelompok usia, terutama kaum muda. Terima kasih Stockbit, teruslah jaya, dan meningkatkan layanan terbaik.",5,positive,7,0.3337,"informasi, very, berguna, semoga_sukses, pengalaman, mudah_mengerti, tingkatkan, maju, indonesia, terpercaya",lawan pengalaman interface fitur komplit ruang diskusi layaknya media sosial informasi disajikan update membandingkan sekuritas akui stockbit layak kelompok usia kaum muda terima_kasih_stockbit teruslah jaya meningkatkan layanan terbaik
"Kelebihan : Chat Support cepat dijawab dan dilayani (bahkan pertanyaan receh sekalipun). Kekurangan : Sering error ketika jam market seperti: Running trade dan Orderbook tidak berjalan normal, semua harus refresh secara manual (sering terjadi apabila suatu emiten terdapat transaksi yang sangat besar); Serta update tiba-tiba di jam market yang menyebabkan tidak bisa bertransaksi secara optimal.",4,positive,0,0.2281,"bagus, aplikasi, mantap, mudah, pemula, saham, stockbit, belajar, membantu, oke",kelebihan chat_suport cepat dilayani pertanyan receh kekurangan eror jam_market runing_trade orderbok berjalan normal refresh manual emiten transaksi update tibatiba jam_market menyebabkan bertransaksi optimal
"Charting masih pinjam punya tradingview. Indikator banyak yang ga ada. Paling parah, datanya sering terlambat. Aplikasi ini juga sering error. Screener sering tidak bisa diubah dan tidak berfungsi. Paling parah, CS-nya minta screenrecording berkali-kali, minta screenshot berkali-kali, tetap tidak bisa kasih solusi apapun. Kalau belum pakai, mending pakai aplikasi lain.",1,negative,1,0.4207,"masuk, deposit, withdraw, withdrawal, uang, verifikasi, membantu_pemula, kerja, proses, penarikan",charting pinjam tradingview indikator parah datanya terlambat aplikasi eror screner diubah berfungsi parah csnya screnrecording berkalikali screnshot berkalikali kasih solusi apapun pakai mending_pakai aplikasi
"oke banget. fitur2nya saya suka. hanya untuk trading cepat menggunakan maksimum cash dan maks trading limit tolong disederhanakan dengan sekali click pada pilihan di depan layar orderbooking. agar cepat memilih, tanpa harus membuka opsi2 lain yg memakan waktu. semangatt",5,positive,0,0.2767,"bagus, aplikasi, mantap, mudah, pemula, saham, stockbit, belajar, membantu, oke",oke banget fitur suka trading cepat maksimum cash maks trading limit tolong disederhanakan click pilihan layar orderboking cepat memilih membuka opsi memakan semangat
"hallo min, sepertinya ada masalah bug/error pada perubahan ""Order Price"" saat order suatu saham di harga tertentu, tiba² mengalami perubahan pada order price yng sudah di tentukan, misalnya brpa hari lalu, saya order di BBCA harga 8.200 tapi order price naik ke 8.675, dan tolong tingkatkan lagi layanan CS'nya sering kali ada masalah dan menghubungi CS jawaban yang di berikan sangat buruk dan sering kali menghilang tanpa penjelasan apapun, tolong segera di perbaiki dan tingkatkan layanan CS'nya.",3,neutral,3,0.3626,"eror, maintenance, jam, jam_bursa, parah, login, hilang, pagi, pas, jual",halo min bugeror perubahan order harga order saham harga mengalami perubahan order harga tentukan order bca harga order harga tolong tingkatkan layanan csnya kali menghubungi customer service buruk kali menghilang penjelasan apapun tolong_perbaiki tingkatkan layanan csnya
"Saldo Balance trading saya , tak terduga , ko berkurang ya, padahal ga ada transaksi....aneeeh.... Terus MENU Support Chat, tertera tidak bisa terbuka, BLANK....mulai aneh. Hati hati , sa sudah sedikit berkurang kepercayaan pada stockbit. Responship nya salah data dan low action. Saldo berkurang lagi namun di jawab sangat tepat,saya tambahin star",2,negative,4,0.3772,"user_friendly, easy, easy_use, mantul, bursa, the, maintenance, handphone, memakai, screning",saldo_balance trading terduga berkurang transaksianeh menu suport chat tertera terbuka blankmulai aneh hati_hati berkurang kepercayaan stockbit responship salah data low aksi saldo_berkurang tepatsaya tambahin star
"Secara Aplikasinya sangat mudah digunakan. UX dan Tampilannya bagus. Tapi untuk fitur chat live sangant slow respon. layanan Call Center-nya juga sulit tersambung dari sekian panggilan yang saya lakukan hanya 1x tersambung. Saya sulit komunikasi dengan layanan CSnya. Sangat disayangkan saja aplikasi sudah baik namun dari sisi Customer service masih kurang. Untuk Pengajuan Harga Nego dikaji ulang, agar tidak perlu mengantri ulang setiap kali mengirim email. Sudah 2 bulan saya tidak di Approve.",1,negative,3,0.2181,"eror, maintenance, jam, jam_bursa, parah, login, hilang, pagi, pas, jual",aplikasinya mudah user experience tampilanya bagus fitur chat_live sangant santai_respon layanan cal centernya sulit tersambung sekian panggilan lakukan tersambung sulit komunikasi layanan csnya disayangkan aplikasi sisi customer_servis pengajuan harga nego dikaji ulang mengantri ulang kali mengirim email aprove
"Sementara bintang 2 dulu, Tiba"" kena biaya data fee udh cek transaksi awal mpe akhir blm mencapai nilai yg bisa di kenakan biaya, kalau sudah selesai masalah ya baru saya kasih bintang full",2,negative,3,0.4562,"eror, maintenance, jam, jam_bursa, parah, login, hilang, pagi, pas, jual",bintang kena_biaya data udah cek transaksi mencapai nilai kenakan biaya selesai kasih_bintang ful
"Tambahkan fitur untuk menu produk ETF, Kripto dan Saham USA di satu aplikasi. Agar lebih mudah dan lengkap. Ini pasti akan menjadi sesuatu yang lebih baik dibandingkan broker kompetitor lainnya. Dan memberikan efek jangka panjang. Tolong tambahkan fitur tersebut dan segera perbarui versi aplikasinya. Terimakasih.",2,negative,0,0.4381,"bagus, aplikasi, mantap, mudah, pemula, saham, stockbit, belajar, membantu, oke",tambahkan_fitur menu produk etf kripto saham usa aplikasi mudah lengkap dibandingkan broker kompetitor efek jangka tolong_tambahkan fitur perbarui versi aplikasinya terimakasih
