content,score,casefold,remove noise,slang,stopwords,stopwords2,stem,sentiment,topic
sangat membantu terimakasih stockbit,5,sangat membantu terimakasih stockbit,sangat membantu terimakasih stockbit,sangat membantu terima kasih stockbit,membantu terima kasih stockbit,membantu terima kasih stockbit,bantu terima kasih stockbit,pos,2
"Aplikasi sudah bagis, fitur san tampilan enak, mudah di pahami orang awam seperti saya. semoga bsk kedepan sudah tidak eror eror lagi",5,"aplikasi sudah bagis, fitur san tampilan enak, mudah di pahami orang awam seperti saya. semoga bsk kedepan sudah tidak eror eror lagi",aplikasi sudah bagis fitur san tampilan enak mudah di pahami orang awam seperti saya semoga bsk kedepan sudah tidak eror eror lagi,aplikasi sudah bagis fitur san tampilan enak mudah di pahami orang awam seperti saya semoga besok ke depan sudah tidak eror eror lagi,aplikasi bagis fitur san tampilan enak mudah pahami orang awam semoga besok tidak eror eror,aplikasi bagis fitur san tampilan enak mudah pahami orang awam semoga besok eror eror,aplikasi bagis fitur san tampil enak mudah paham orang awam moga besok tidak eror eror,pos,0
Semoga aplikasi ini berguna bagi konsumen 😍😍😍,5,semoga aplikasi ini berguna bagi konsumen 😍😍😍,semoga aplikasi ini berguna bagi konsumen,semoga aplikasi ini berguna bagi konsumen,semoga aplikasi berguna konsumen,semoga aplikasi berguna konsumen,moga aplikasi guna konsumen,pos,0
Aplikasi yg bagus untuk belajar jad investor maupun trader..,5,aplikasi yg bagus untuk belajar jad investor maupun trader..,aplikasi yg bagus untuk belajar jad investor maupun trader,aplikasi yang bagus untuk belajar jadi investor maupun trader,aplikasi bagus belajar investor trader,aplikasi bagus belajar investor trader,aplikasi bagus ajar investor trader,pos,3
"Bagus untuk pemula yang mau terjuan ke dunia persahaman sebelum ke crypto, tapi untuk Admin stockbit tolong pembelian saham dan penjualan saham saya di percepat soal nya mulai tadi pending Mulu dan pas beli E-IPO juga",5,"bagus untuk pemula yang mau terjuan ke dunia persahaman sebelum ke crypto, tapi untuk admin stockbit tolong pembelian saham dan penjualan saham saya di percepat soal nya mulai tadi pending mulu dan pas beli e-ipo juga",bagus untuk pemula yang mau terjuan ke dunia persahaman sebelum ke crypto tapi untuk admin stockbit tolong pembelian saham dan penjualan saham saya di percepat soal nya mulai tadi pending mulu dan pas beli e ipo juga,bagus untuk pemula yang mau terjuan ke dunia persahaman sebelum ke crypto tapi untuk admin stockbit tolong pembelian saham dan penjualan saham saya di percepat soal nya mulai tadi pending melulu dan pas beli e ipo juga,bagus pemula terjuan dunia persahaman crypto admin stockbit tolong pembelian saham penjualan saham percepat pending melulu pas beli e ipo,bagus pemula terjuan dunia persahaman crypto admin stockbit tolong pembelian saham penjualan saham percepat pending melulu pas beli e ipo,bagus mula juan dunia saham crypto admin stockbit tolong beli saham jual saham cepat pending melulu pas beli e ipo,pos,2
Tolong ditambahkan sell opsional kaya buy yg memiliki triger berdasarkan harga <= dan >= lebih keren lagi kalo ditambah triger price and volume.. mohon disampaikan kpd pihak terkait.. terimakasih,4,tolong ditambahkan sell opsional kaya buy yg memiliki triger berdasarkan harga <= dan >= lebih keren lagi kalo ditambah triger price and volume.. mohon disampaikan kpd pihak terkait.. terimakasih,tolong ditambahkan sell opsional kaya buy yg memiliki triger berdasarkan harga dan lebih keren lagi kalo ditambah triger price and volume mohon disampaikan kpd pihak terkait terimakasih,tolong ditambahkan sell opsional kayak buy yang memiliki triger berdasarkan harga dan lebih keren lagi kalau ditambah triger price and volume mohon disampaikan kepada pihak terkait terima kasih,tolong sell opsional kayak buy memiliki triger berdasarkan harga keren ditambah triger price and volume mohon terkait terima kasih,tolong sell opsional kayak buy memiliki triger berdasarkan harga keren ditambah triger price and volume mohon terkait terima kasih,tolong sell opsional kayak buy milik triger dasar harga keren tambah triger price and volume mohon kait terima kasih,pos,4
Simple dan mudah....yuk nabung saham,5,simple dan mudah....yuk nabung saham,simple dan mudah yuk nabung saham,simple dan mudah yuk menabung saham,simple mudah yuk menabung saham,simple mudah yuk menabung saham,simple mudah yuk tabung saham,pos,3
"Transaksi jual dan beli mudah,cepat, progress terpantau dengan mudah",5,"transaksi jual dan beli mudah,cepat, progress terpantau dengan mudah",transaksi jual dan beli mudah cepat progress terpantau dengan mudah,transaksi jual dan beli mudah cepat progress terpantau dengan mudah,transaksi jual beli mudah cepat progress terpantau mudah,transaksi jual beli mudah cepat progress terpantau mudah,transaksi jual beli mudah cepat progress pantau mudah,pos,3
Saya saya puas terima kasih,5,saya saya puas terima kasih,saya saya puas terima kasih,saya saya puas terima kasih,puas terima kasih,puas terima kasih,puas terima kasih,pos,1
"Tambahkan fitur PnL realtime pada fastorder, cocok",5,"tambahkan fitur pnl realtime pada fastorder, cocok",tambahkan fitur pnl realtime pada fastorder cocok,tambahkan fitur pnl realtime pada fastorder cocok,tambahkan fitur pnl realtime fastorder cocok,tambahkan fitur pnl realtime fastorder cocok,tambah fitur pnl realtime fastorder cocok,pos,0
Fitur mantap.. aplikasinya berkembang maju lebih keren,5,fitur mantap.. aplikasinya berkembang maju lebih keren,fitur mantap aplikasinya berkembang maju lebih keren,fitur mantap aplikasinya berkembang maju lebih keren,fitur mantap aplikasinya berkembang maju keren,fitur mantap aplikasinya berkembang maju keren,fitur mantap aplikasi kembang maju keren,pos,0
Aplikasi mudah untuk belajar investasi bagi pemula,5,aplikasi mudah untuk belajar investasi bagi pemula,aplikasi mudah untuk belajar investasi bagi pemula,aplikasi mudah untuk belajar investasi bagi pemula,aplikasi mudah belajar investasi pemula,aplikasi mudah belajar investasi pemula,aplikasi mudah ajar investasi mula,pos,3
"Setelah bintang 1 naik ke bintang 4 Terima kasih stockbit nyaman dan mudah bgt cara pakai nya, di tunggu fitur auto buy & auto sell nya ya!! Baru di kasih bintang 5",4,"setelah bintang 1 naik ke bintang 4 terima kasih stockbit nyaman dan mudah bgt cara pakai nya, di tunggu fitur auto buy & auto sell nya ya!! baru di kasih bintang 5",setelah bintang naik ke bintang terima kasih stockbit nyaman dan mudah bgt cara pakai nya di tunggu fitur auto buy auto sell nya ya baru di kasih bintang,setelah bintang naik ke bintang terima kasih stockbit nyaman dan mudah banget cara pakai nya di tunggu fitur auto buy auto sell nya iya baru di kasih bintang,bintang bintang terima kasih stockbit nyaman mudah banget pakai tunggu fitur auto buy auto sell iya kasih bintang,bintang bintang terima kasih stockbit nyaman mudah banget pakai tunggu fitur auto buy auto sell iya kasih bintang,bintang bintang terima kasih stockbit nyaman mudah banget pakai tunggu fitur auto buy auto sell iya kasih bintang,pos,2
"Infotmasinya lengkap dan sangat membantu utk trading dan investasi. Masukan dan Saran : Sebaiknya komentar2 chat di stream yg menyesatkan, menghujat dan memojokkan dapat disaring terlebih dahulu, sehingga sinformasi2 yg release adalah informasi yg bermanfaat utk trader. Tks🙏",5,"infotmasinya lengkap dan sangat membantu utk trading dan investasi. masukan dan saran : sebaiknya komentar2 chat di stream yg menyesatkan, menghujat dan memojokkan dapat disaring terlebih dahulu, sehingga sinformasi2 yg release adalah informasi yg bermanfaat utk trader. tks🙏",infotmasinya lengkap dan sangat membantu utk trading dan investasi masukan dan saran sebaiknya komentar chat di stream yg menyesatkan menghujat dan memojokkan dapat disaring terlebih dahulu sehingga sinformasi yg release adalah informasi yg bermanfaat utk trader tks,infotmasinya lengkap dan sangat membantu untuk trading dan investasi masukan dan saran sebaiknya komentar chat di stream yang menyesatkan menghujat dan memojokkan dapat disaring terlebih dahulu sehingga sinformasi yang release adalah informasi yang bermanfaat untuk trader terima kasih,infotmasinya lengkap membantu trading investasi masukan saran komentar chat stream menyesatkan menghujat memojokkan disaring sinformasi release informasi bermanfaat trader terima kasih,infotmasinya lengkap membantu trading investasi masukan saran komentar chat stream menyesatkan menghujat memojokkan disaring sinformasi release informasi bermanfaat trader terima kasih,infotmasinya lengkap bantu trading investasi masuk saran komentar chat stream sesat hujat pojok saring sinformasi release informasi manfaat trader terima kasih,pos,3
Good choice to trade in,5,good choice to trade in,good choice to trade in,good choice to trade in,good choice to trade in,good choice to trade in,good choice to trade in,pos,3
good semoga sukses sellalu,5,good semoga sukses sellalu,good semoga sukses sellalu,good semoga sukses sellalu,good semoga sukses sellalu,good semoga sukses sellalu,good moga sukses sellalu,pos,1
Sangat bagus dan membantu untk trading saham,5,sangat bagus dan membantu untk trading saham,sangat bagus dan membantu untk trading saham,sangat bagus dan membantu untuk trading saham,bagus membantu trading saham,bagus membantu trading saham,bagus bantu trading saham,pos,3
"cocok, bisa belajar dulu",5,"cocok, bisa belajar dulu",cocok bisa belajar dulu,cocok bisa belajar dulu,cocok belajar,cocok belajar,cocok ajar,pos,1
Saya blm deposit saya kasih 4 bintang lah bagus ApK nya septi kelihatan nya karna semua harus pake pastwort,4,saya blm deposit saya kasih 4 bintang lah bagus apk nya septi kelihatan nya karna semua harus pake pastwort,saya blm deposit saya kasih bintang lah bagus apk nya septi kelihatan nya karna semua harus pake pastwort,saya belum deposit saya kasih bintang lah bagus apakah nya septi kelihatan nya karena semua harus pakai pastwort,belum deposit kasih bintang bagus septi pakai pastwort,deposit kasih bintang bagus septi pakai pastwort,belum deposit kasih bintang bagus septi pakai pastwort,pos,2
"Untuk pemula,ini adalah aplikasi yang baik untuk belajar saham, mudah di pahami.",5,"untuk pemula,ini adalah aplikasi yang baik untuk belajar saham, mudah di pahami.",untuk pemula ini adalah aplikasi yang baik untuk belajar saham mudah di pahami,untuk pemula ini adalah aplikasi yang baik untuk belajar saham mudah di pahami,pemula aplikasi belajar saham mudah pahami,pemula aplikasi belajar saham mudah pahami,mula aplikasi ajar saham mudah paham,pos,3
Kenapa sistemnya ditutup saat malam.. padahal analisa saham kebanyakan pada malam hari pulang kerja liat saham malah tutup... sekuritas lain buka 24 jam sistemnya buka nonstop,4,kenapa sistemnya ditutup saat malam.. padahal analisa saham kebanyakan pada malam hari pulang kerja liat saham malah tutup... sekuritas lain buka 24 jam sistemnya buka nonstop,kenapa sistemnya ditutup saat malam padahal analisa saham kebanyakan pada malam hari pulang kerja liat saham malah tutup sekuritas lain buka jam sistemnya buka nonstop,kenapa sistemnya ditutup saat malam padahal analisa saham kebanyakan pada malam hari pulang kerja lihat saham bahkan tutup sekuritas lain buka jam sistemnya buka nonstop,sistemnya ditutup malam analisa saham kebanyakan malam pulang kerja lihat saham tutup sekuritas buka jam sistemnya buka nonstop,sistemnya ditutup malam analisa saham kebanyakan malam pulang kerja lihat saham tutup sekuritas buka jam sistemnya buka nonstop,sistem tutup malam analisa saham banyak malam pulang kerja lihat saham tutup sekuritas buka jam sistem buka nonstop,pos,4
bisa liat saham yg syari'i,5,bisa liat saham yg syari'i,bisa liat saham yg syari i,bisa lihat saham yang syariat i,lihat saham syariat i,lihat saham syariat i,lihat saham syariat i,pos,3
Broker Apps no 1 di Indonesia.,5,broker apps no 1 di indonesia.,broker apps no di indonesia,broker apps no di indonesia,broker apps no indonesia,broker apps no indonesia,broker apps no indonesia,pos,3
"Stockbit memang joss istimewa,tanya2 langsung direspon,punya kendala langsung diberi solusi....terima kasih....mantab",5,"stockbit memang joss istimewa,tanya2 langsung direspon,punya kendala langsung diberi solusi....terima kasih....mantab",stockbit memang joss istimewa tanya langsung direspon punya kendala langsung diberi solusi terima kasih mantab,stockbit memang joss istimewa tanya langsung direspon punya kendala langsung diberi solusi terima kasih mantap,stockbit joss istimewa langsung direspon kendala langsung solusi terima kasih mantap,stockbit joss istimewa langsung direspon kendala langsung solusi terima kasih mantap,stockbit joss istimewa langsung direspon kendala langsung solusi terima kasih mantap,pos,2
"Apk yang memberi pengalaman untuk trading saham, untuk belajar maupun real, sangat bagus.",5,"apk yang memberi pengalaman untuk trading saham, untuk belajar maupun real, sangat bagus.",apk yang memberi pengalaman untuk trading saham untuk belajar maupun real sangat bagus,apakah yang memberi pengalaman untuk trading saham untuk belajar maupun real sangat bagus,pengalaman trading saham belajar real bagus,pengalaman trading saham belajar real bagus,alam trading saham ajar real bagus,pos,3
"hell yeaaah, LOVE IT",5,"hell yeaaah, love it",hell yeaah love it,hell yeaah love it,hell yeaah love it,hell yeaah love it,hell yeaah love it,pos,1
Baru mulai...dan masih belajar,5,baru mulai...dan masih belajar,baru mulai dan masih belajar,baru mulai dan masih belajar,belajar,belajar,ajar,pos,1
"Masih bingung,cara memakai apk ini,,yg sudah tau kasi tutor dongss🙏 Maaf pemula🙏🙏🙏",4,"masih bingung,cara memakai apk ini,,yg sudah tau kasi tutor dongss🙏 maaf pemula🙏🙏🙏",masih bingung cara memakai apk ini yg sudah tau kasi tutor dongss maaf pemula,masih bingung cara memakai apakah ini yang sudah tahu kasih tutor dongss maaf pemula,bingung memakai kasih tutor dongss maaf pemula,bingung memakai kasih tutor dongss maaf pemula,bingung pakai kasih tutor dongss maaf mula,pos,1
"Sangat membantu, chart nya juga mantap",5,"sangat membantu, chart nya juga mantap",sangat membantu chart nya juga mantap,sangat membantu chart nya juga mantap,membantu chart mantap,membantu chart mantap,bantu chart mantap,pos,1
Admin tolong aplikasi nya di tingkatkan lagi. Suka ke close gak sengaja jadi keluar masuk terus🙏,5,admin tolong aplikasi nya di tingkatkan lagi. suka ke close gak sengaja jadi keluar masuk terus🙏,admin tolong aplikasi nya di tingkatkan lagi suka ke close gak sengaja jadi keluar masuk terus,admin tolong aplikasi nya di tingkatkan lagi suka ke close tidak sengaja jadi keluar masuk terus,admin tolong aplikasi tingkatkan suka close tidak sengaja masuk,admin tolong aplikasi tingkatkan suka close sengaja masuk,admin tolong aplikasi tingkat suka close tidak sengaja masuk,pos,0
